Должность,Компания,Доход,Адрес,Ссылка 
['Менеджер по продажам автомобилей в дилерский центр Mitsubishi', 'Группа Компаний Автоимпорт', 'от 50 000 руб.', 'Рязань', 'https://ryazan.hh.ru/vacancy/72882126?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Инженер технической поддержки', 'Световые Технологии', 'Не указана', 'Рязань', 'https://ryazan.hh.ru/vacancy/73398445?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Ведущий менеджер по продажам', 'ООО Крокус', 'до 80 000 руб.', 'Рязань', 'https://ryazan.hh.ru/vacancy/73092764?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Продавец-кассир ( ул.Молодежная д.21 )', 'ДИКСИ. Магазины', '27 097 – 29 806 руб.', 'Рязань', 'https://ryazan.hh.ru/vacancy/72810230?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Продавец-консультант', 'Лина', 'Не указана', 'Рязань', 'https://ryazan.hh.ru/vacancy/70990581?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Оператор дистанционного колл-центра', 'Тинькофф', 'от 25 000 руб.', 'Рязань', 'https://ryazan.hh.ru/vacancy/71889790?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Пеший курьер-сборщик (подработка)', 'ИП Сапожников Павел Андреевич', '75 000 – 81 000 руб.', 'Рязань', 'https://ryazan.hh.ru/vacancy/72523954?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Оператор колл-центра в Станцию', 'Яндекс', 'Не указана', 'Рязань', 'https://ryazan.hh.ru/vacancy/73241048?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Специалист по ЕГАИС', 'ООО Selgros Cash&Carry (Зельгрос кэш&кэрри)', '28 000 – 34 600 руб.', 'Рязань', 'https://ryazan.hh.ru/vacancy/72169664?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Слесарь аварийно-восстановительных работ', 'АО Рязанский приборный завод', 'до 27 700 руб.', 'Рязань', 'https://ryazan.hh.ru/vacancy/73350430?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Менеджер по продажам B2B (мебель)', 'PUSHE', 'Не указана', 'Рязань', 'https://ryazan.hh.ru/vacancy/72472019?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Специалист по производству полуфабрикатов (отдел Ресторан)', 'Глобус', '46 638 – 55 965 руб.', 'Королев', 'https://ryazan.hh.ru/vacancy/72340086?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
